 ,EUI,data,time,,,,,,,,,,
123,deveui,23.56,2019/10/10 20:56,,,,,,,,,,
124,deveui,23.56,2019/10/10 21:01,,,,,,,,,,
126,deveui,23.5,2019/10/10 21:11,,,,,,,,,,
127,deveui,23.5,2019/10/10 21:16,,,,,,,,,,
128,deveui,23.5,2019/10/10 21:21,,,,,,,,,,
129,deveui,23.43,2019/10/10 21:27,,,,,,,,,,
131,deveui,23.43,2019/10/10 21:37,,,,,,,,,,
132,deveui,23.37,2019/10/10 21:42,,,,,,,,,,
133,deveui,23.43,2019/10/10 21:47,,,,,,,,,,
134,deveui,23.37,2019/10/10 21:52,,,,,,,,,,
136,deveui,23.37,2019/10/10 22:02,,,,,,,,,,
137,deveui,23.37,2019/10/10 22:07,,,,,,,,,,
138,deveui,23.37,2019/10/10 22:12,,,,,,,,,,
139,deveui,23.37,2019/10/10 22:17,,,,,,,,,,
140,deveui,23.31,2019/10/10 22:22,,,,,,,,,,
142,deveui,23.31,2019/10/10 22:32,,,,,,,,,,
143,deveui,23.31,2019/10/10 22:37,,,,,,,,,,
144,deveui,23.37,2019/10/10 22:42,,,,,,,,,,
145,deveui,23.31,2019/10/10 22:47,,,,,,,,,,
146,deveui,23.25,2019/10/10 22:53,,,,,,,,,,
147,deveui,23.25,2019/10/10 22:58,,,,,,,,,,
149,deveui,23.25,2019/10/10 23:08,,,,,,,,,,
151,deveui,23.18,2019/10/10 23:18,,,,,,,,,,
152,deveui,23.18,2019/10/10 23:23,,,,,,,,,,
154,deveui,23.18,2019/10/10 23:33,,,,,,,,,,
155,deveui,23.18,2019/10/10 23:38,,,,,,,,,,
156,deveui,23.18,2019/10/10 23:43,,,,,,,,,,
157,deveui,23.12,2019/10/10 23:48,,,,,,,,,,
158,deveui,23.18,2019/10/10 23:53,,,,,,,,,,
159,deveui,23.18,2019/10/10 23:58,,,,,,,,,,
160,deveui,23.18,2019/10/11 0:03,,,,,,,,,,
161,deveui,23.18,2019/10/11 0:08,,,,,,,,,,
162,deveui,23.18,2019/10/11 0:13,,,,,,,,,,
164,deveui,23.12,2019/10/11 0:24,,,,,,,,,,
166,deveui,23.12,2019/10/11 0:34,,,,,,,,,,
169,deveui,23.18,2019/10/11 0:49,,,,,,,,,,
170,deveui,23.18,2019/10/11 0:54,,,,,,,,,,
171,deveui,23.18,2019/10/11 0:59,,,,,,,,,,
172,deveui,23.12,2019/10/11 1:04,,,,,,,,,,
173,deveui,23.18,2019/10/11 1:09,,,,,,,,,,
174,deveui,23.18,2019/10/11 1:14,,,,,,,,,,
175,deveui,23.12,2019/10/11 1:19,,,,,,,,,,
176,deveui,23.12,2019/10/11 1:24,,,,,,,,,,
177,deveui,23.12,2019/10/11 1:29,,,,,,,,,,
178,deveui,23.12,2019/10/11 1:34,,,,,,,,,,
180,deveui,23.06,2019/10/11 1:44,,,,,,,,,,
181,deveui,23.06,2019/10/11 1:50,,,,,,,,,,
182,deveui,23.06,2019/10/11 1:55,,,,,,,,,,
183,deveui,23.12,2019/10/11 2:00,,,,,,,,,,
184,deveui,23.06,2019/10/11 2:05,,,,,,,,,,
185,deveui,23.06,2019/10/11 2:10,,,,,,,,,,
186,deveui,23.06,2019/10/11 2:15,,,,,,,,,,
187,deveui,23.06,2019/10/11 2:20,,,,,,,,,,
188,deveui,23.06,2019/10/11 2:25,,,,,,,,,,
189,deveui,23.06,2019/10/11 2:30,,,,,,,,,,
190,deveui,23.06,2019/10/11 2:35,,,,,,,,,,
191,deveui,23,2019/10/11 2:40,,,,,,,,,,
192,deveui,23,2019/10/11 2:45,,,,,,,,,,
193,deveui,23,2019/10/11 2:50,,,,,,,,,,
194,deveui,23,2019/10/11 2:55,,,,,,,,,,
196,deveui,22.93,2019/10/11 3:05,,,,,,,,,,
197,deveui,23,2019/10/11 3:10,,,,,,,,,,
198,deveui,22.93,2019/10/11 3:16,,,,,,,,,,
199,deveui,22.93,2019/10/11 3:21,,,,,,,,,,
200,deveui,22.93,2019/10/11 3:26,,,,,,,,,,
201,deveui,23,2019/10/11 3:31,,,,,,,,,,
202,deveui,22.93,2019/10/11 3:36,,,,,,,,,,
203,deveui,22.93,2019/10/11 3:41,,,,,,,,,,
204,deveui,22.93,2019/10/11 3:46,,,,,,,,,,
205,deveui,22.93,2019/10/11 3:51,,,,,,,,,,
206,deveui,22.93,2019/10/11 3:56,,,,,,,,,,
208,deveui,22.93,2019/10/11 4:06,,,,,,,,,,
211,deveui,22.93,2019/10/11 4:21,,,,,,,,,,
212,deveui,22.93,2019/10/11 4:26,,,,,,,,,,
213,deveui,22.93,2019/10/11 4:31,,,,,,,,,,
214,deveui,22.87,2019/10/11 4:36,,,,,,,,,,
215,deveui,22.93,2019/10/11 4:41,,,,,,,,,,
216,deveui,22.87,2019/10/11 4:47,,,,,,,,,,
217,deveui,22.93,2019/10/11 4:52,,,,,,,,,,
218,deveui,22.87,2019/10/11 4:57,,,,,,,,,,
220,deveui,22.87,2019/10/11 5:07,,,,,,,,,,
